Area,Query_Latitude,Query_Longitude,Closest_Latitude,Closest_Longitude,Population_Density
Al Quoz Industrial Area (DUBAI),25.129592421893612,55.2149674236469,25.12958333329616,55.21486111130029,7.688826
Al Musaffah (ABU DHABI),24.362453165958904,54.48312869748285,24.3626388888511,54.48319444463303,3.035306
Al Karama (DUBAI),25.246843275719176,55.304785932364894,25.24680555551848,55.30486111130036,7.688826
Al Nuaimia (AJMAN),25.38541160535403,55.45716045319643,25.385416666629705,55.457083333522704,7.114559
Al Salamah (UMM AL QUWAIN),25.47920489022441,55.587846757747506,25.47902777774089,55.58763888907836,1.778671
Al Hail (FUJAIRAH),25.11569934008603,56.26940532712436,25.114861111073928,56.26958333352336,2.549128
Al Nakheel (RAS AL KHAIMAH),25.802349918186287,55.962191868198666,25.80319444440781,55.962361111300886,2.334819
Dubai International City,25.168125488770244,55.40559736485907,25.168194444407305,55.40541666685599,7.688826
Khalifa City A (ABU DHABI),24.424739990639065,54.52647562221691,24.423472222184483,54.52763888907751,3.035306
Industrial Area 10 (SHARJAH),25.302870077935477,55.4172061141615,25.302916666629635,55.41708333352267,10.10039
